.	エピック	タスク	JIRA	担当	標準工数	実績工数	状態	開始予定	開始実績	終了予定	終了実績	備考				
		テスト仕様書レビュー		宗			未着手									
		テスト仕様書FB対応		NTQ	12.0h		未着手									
		機能テスト実施		NTQ	42.0h	42.0h	完了	04/27	04/27	04/29	04/29					
		リポジトリクラス削除対応		NTQ	1.0h	1.0h	完了	05/04	05/04	05/04	05/04					
		重複メソッド対応		NTQ	1.0h	1.0h	完了	04/28	05/04	05/09	05/05					
		レビュー					未着手									
		FB対応		NTQ	14.0h		未着手									
		受入					未着手									
		リリース準備					未着手									
	申し込み内容確認（成功報酬）　/cplansetting/detail/7		ENG1ST-2055	NTQ			未着手									
		実装		NTQ	73.0h	73.0h	完了	04/01	04/01	04/22	04/15					
		テスト仕様書作成		NTQ	72.0h	72.0h	完了	04/14	04/14	04/26	04/25	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1650879329776169				
		テスト仕様書レビュー		山下	4.0h	8.0h	完了	05/10	05/10	05/11	05/11					
		テスト仕様書FB対応		NTQ	12.0h		完了	05/17	05/17	05/18	05/18	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1652920247670249?thread_ts=1650879329.776169&cid=C02BYE052ES				
		上記確認		山下	2.0h	2.0h	完了	05/31	05/31	05/31	05/31					
		機能テスト実施		NTQ	42.0h	42.0h	完了	04/26	04/25	05/04	04/29					
		リポジトリクラス削除対応		NTQ	1.0h	1.0h	完了	05/04	05/04	05/04	05/04					
		重複メソッド対応		NTQ	1.0h	1.0h	完了	04/28	05/04	05/09	05/05					
		レビュー					未着手									
		FB対応		NTQ	14.0h		未着手									
		受入					未着手									
		リリース準備					未着手									
	成功報酬型プランお申し込み用フォーム　/cplansetting/new		ENG1ST-2056	NTQ			仕掛中									
		実装		NTQ	72.0h		完了	06/01	06/01	06/14	06/14					
		テスト仕様書作成		NTQ	72.0h		仕掛中	06/16	06/14	06/30						
		テスト仕様書レビュー					未着手									
		テスト仕様書FB対応		NTQ			未着手									
		機能テスト実施		NTQ	42.0h		未着手	07/01		07/08						
		レビュー					未着手									
		FB対応		NTQ			未着手									
		受入					未着手									
		リリース準備					未着手									
	新規申し込み登録 確認画面（成功報酬）　/cplansetting/confirm/		ENG1ST-2057	NTQ			未着手									
		実装		NTQ			未着手									
		テスト仕様書作成		NTQ			未着手									
		テスト仕様書レビュー					未着手									
		テスト仕様書FB対応		NTQ			未着手									
		機能テスト実施		NTQ			未着手									
		レビュー					未着手									
		FB対応		NTQ			未着手									
		受入					未着手									
		リリース準備					未着手									
	内定承諾確定後の辞退/取消報告　/cdecidemanage/select_report_type/513032		ENG1ST-2103	NTQ			仕掛中									
		実装		NTQ	41.0h	41.0h	完了	06/07	06/07	06/14	06/14					
		テスト仕様書作成		NTQ	56.0h		仕掛中	06/07	06/07	06/17						
		テスト仕様書レビュー					未着手									
		テスト仕様書FB対応		NTQ			未着手									
		機能テスト実施		NTQ	30.0h		未着手	06/17		06/22						
		レビュー					未着手									
		FB対応		NTQ			未着手									
		受入					未着手									
		リリース準備					未着手									
	企業トップ画面 /cindex		ENG1ST-2105	NTQ			仕掛中									
		実装		NTQ	21.0h	21.0h	完了	06/07	06/07	06/14	06/14					
		テスト仕様書作成		NTQ	32.0h		仕掛中	06/07	06/07	06/20						
		テスト仕様書レビュー					未着手									
		テスト仕様書FB対応		NTQ			未着手									
		機能テスト実施		NTQ	14.0h		未着手	06/17		06/22						
		レビュー					未着手									
		FB対応		NTQ			未着手									
		受入					未着手									
		リリース準備					未着手									
6	申し込み内容確認（早期）　/cearlyplansetting/detail/2		ENG1ST-2058	NTQ			仕掛中									
		実装		NTQ	41.0h	41.0h	完了	04/01	04/01	04/07	04/07					
		テスト仕様書作成		NTQ	56.0h	56.0h	完了	04/01	04/01	04/12	04/13	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649930769902959				
		テスト仕様書レビュー		宗	4.0h	14.0h	完了	04/22	04/22	04/25	04/25					
		機能テスト実施		NTQ	30.0h	30.0h	完了	04/12	04/12	04/15	04/15					
		テスト仕様書更新		NTQ	8.0h	2.0h	完了	04/22	04/22	04/22	04/22	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1650971160726659?thread_ts=1649930769.902959&cid=C02BYE052ES				
		テスト仕様書更新レビュー		宗	1.0h	1.0h	完了	04/27	04/27	04/27	04/27	NTQさんの追加内容を再検証（4/27）				
		テスト仕様書更新レビューFB対応		NTQ	2.0h	0.0h	完了	04/27	04/27	04/27	04/27	指摘がありません				
		リポジトリクラス削除対応		NTQ	1.0h	1.0h	完了	05/04	05/04	05/04	05/04					
		重複メソッド対応		NTQ	1.0h	1.0h	完了	04/28	05/04	05/09	05/05					
		レビュー					未着手									
		FB対応		NTQ	10.0h		未着手									
		受入					未着手									
		リリース準備					未着手									
	新規申し込み登録（早期）　/cearlyplansetting/new		ENG1ST-2059	NTQ			却下					ENG1ST-2060にマージ				
		実装		NTQ			未着手									
		テスト仕様書作成		NTQ			未着手									
		テスト仕様書レビュー		宗			未着手									
		テスト仕様書FB対応		NTQ			未着手									
		機能テスト実施		NTQ			未着手									
		レビュー					未着手									
		FB対応		NTQ			未着手									
		受入					未着手									
		リリース準備					未着手									
	新規申し込み登録 確認画面（早期）　/cearlyplansetting/confirm		ENG1ST-2060	NTQ			仕掛中									
		実装		NTQ	108.0h		完了	04/21	04/21	05/16	05/16					
		テスト仕様書作成		NTQ	128.0h		完了	04/21	04/21	05/23	05/23					
		テスト仕様書レビュー		宗			未着手									
		テスト仕様書FB対応		NTQ			未着手									
		機能テスト実施		NTQ	72.0h		完了	05/20	05/20	05/31	05/31					
		レビュー					未着手									
		FB対応		NTQ			未着手									
		受入					未着手									
		リリース準備					未着手									
11	相談チャット　/ccompanychat/index/		ENG1ST-2061	NTQ			仕掛中									
		実装		NTQ	73.0h	73.0h	完了	04/18	04/18	04/28	04/22					
		テスト仕様書作成		NTQ	72.0h	72.0h	完了	04/18	04/18	04/28	04/28	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1651104177718639				
		テスト仕様書レビュー					未着手									
		テスト仕様書FB対応		NTQ	12.0h		未着手									
		機能テスト実施		NTQ	42.0h	42.0h	完了	04/28	04/27	05/06	04/29					
		重複メソッド対応		NTQ	1.0h	1.0h	完了	04/28	05/04	05/09	05/05					
		レビュー					未着手									
		FB対応		NTQ	14.0h		未着手									
		受入					未着手									
		リリース準備					未着手									
7	アクセス履歴　/caccesslog		ENG1ST-2062	NTQ			仕掛中									
		実装		NTQ	41.0h	41.0h	完了	04/01	04/01	04/07	04/07					
		テスト仕様書作成		NTQ	56.0h	56.0h	完了	04/01	04/01	04/12	04/13	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649930534420839				
		テスト仕様書レビュー		宗		8.0h	完了	04/21	04/21	04/21	04/21	NTQさんへ連絡済み（4/22）				
		機能テスト実施		NTQ	30.0h	30.0h	完了	04/12	04/12	04/15	04/15					
		重複メソッド対応		NTQ	1.0h	1.0h	完了	04/28	05/04	05/09	05/05					
		レビュー					未着手									
		FB対応		NTQ	10.0h		未着手									
		受入					未着手									
		リリース準備					未着手									
12	OfferBox計画表 結果　/cplan/result/2117		ENG1ST-1786	NTQ			未着手									
		実装		NTQ	73.0h	73.0h	完了	04/15	04/15	04/27	04/25					
		テスト仕様書作成		NTQ	72.0h	72.0h	完了	04/18	04/18	04/28	04/28	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1651225816461569				
		テスト仕様書レビュー					未着手									
		テスト仕様書FB対応		NTQ	12.0h		未着手									
		機能テスト実施		NTQ	42.0h	42.0h	完了	04/28	05/04	05/09	05/05					
		リポジトリクラス削除対応		NTQ	1.0h	1.0h	完了	05/04	05/04	05/04	05/04					
		レビュー					未着手									
		FB対応		NTQ	14.0h		未着手									
		受入					未着手									
		リリース準備					未着手									
